Keuwl Accelerometer Data File
2021-04-23 02-18-31

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.4719406,-0.001464,0.075172,0.969913,0.972823,4.432615,91.116013
0.4739403,-0.004881,0.074196,0.969181,0.972029,4.387134,93.764038
0.4759400,-0.005858,0.072243,0.970645,0.973348,4.270447,94.635460
0.4779398,-0.006346,0.069803,0.972598,0.975120,4.121935,95.194427
0.4799395,-0.006102,0.068338,0.978455,0.980858,4.011076,95.102165
0.4819393,-0.005613,0.068094,0.982360,0.984734,3.978575,94.712654
0.4839390,-0.002685,0.066630,0.991635,0.993874,3.847155,92.307373
0.4859388,0.000488,0.065653,1.001397,1.003547,3.751080,89.574020
0.4879385,0.004393,0.066874,1.005302,1.007534,3.813927,86.241447
0.4899382,0.010007,0.066630,1.014333,1.016568,3.800297,81.458969
0.4919380,0.008786,0.065409,1.019702,1.021836,3.703115,82.349350
0.4939377,0.009763,0.065409,1.022387,1.024524,3.701052,81.511055
0.4959374,0.009030,0.065165,1.023119,1.025232,3.679190,82.110382
0.4979372,0.007322,0.065653,1.023119,1.025250,3.694380,83.636429
0.4999369,0.007566,0.064677,1.020679,1.022754,3.650392,83.327797
0.5019367,0.006590,0.065409,1.021411,1.023524,3.682648,84.247078
0.5039364,0.006346,0.065897,1.021899,1.024041,3.706656,84.499588
0.5059362,0.005369,0.065653,1.023119,1.025238,3.683817,85.324509
0.5079359,0.007078,0.067118,1.027024,1.029239,3.759736,83.980148
0.5099356,0.007566,0.067850,1.028245,1.030509,3.798596,83.637192
0.5119354,0.010007,0.066630,1.031173,1.033372,3.738374,81.458969
0.5139351,0.012935,0.066874,1.032150,1.034395,3.775535,79.052437
0.5159348,0.013424,0.065897,1.033614,1.035799,3.722627,78.486168
0.5179346,0.014644,0.066142,1.034590,1.036806,3.746275,77.515968
0.5199344,0.015864,0.067606,1.035323,1.037649,3.837267,76.794075
0.5219341,0.017329,0.069558,1.034590,1.037071,3.963584,76.011070
0.5239338,0.019769,0.067606,1.030685,1.033089,3.909561,73.700089
0.5259336,0.020745,0.067850,1.028000,1.030446,3.948238,72.998703
0.5279333,0.021234,0.067606,1.024340,1.026788,3.957354,72.563568
0.5299330,0.022942,0.067606,1.018238,1.020738,4.010636,71.255348
0.5319328,0.023186,0.067362,1.015065,1.017562,4.014589,71.006386
0.5339326,0.023918,0.067606,1.008963,1.011509,4.065438,70.516701
0.5359323,0.025139,0.067850,1.007011,1.009607,4.109802,69.670151
0.5379320,0.026115,0.067118,1.002374,1.004958,4.109516,68.739441
0.5399318,0.026603,0.066630,0.998225,1.000800,4.110850,68.234787
0.5419315,0.026115,0.066386,0.996028,0.998579,4.096677,68.526199
0.5439312,0.025871,0.064677,0.993343,0.995783,4.011320,68.198593
0.5459310,0.024895,0.064433,0.992855,0.995255,3.979756,68.875282
0.5479307,0.025383,0.063213,0.993343,0.995676,3.922911,68.122353
0.5499306,0.025383,0.061992,0.993099,0.995356,3.858945,67.733414
0.5519303,0.025627,0.062725,0.993343,0.995652,3.902191,67.777023
0.5539300,0.025139,0.064433,0.992611,0.995018,3.985804,68.686684
0.5559298,0.024895,0.063701,0.989682,0.992043,3.953195,68.654213
0.5579295,0.024162,0.063213,0.986998,0.989315,3.922312,69.081177
0.5599292,0.022454,0.063213,0.983581,0.985866,3.901689,70.444336
0.5619289,0.024162,0.062481,0.978211,0.980502,3.917617,68.857582
0.5639287,0.024162,0.062725,0.976015,0.978327,3.939698,68.932617
0.5659286,0.025383,0.063701,0.975283,0.977690,4.021851,68.274330
0.5679283,0.029776,0.063945,0.967717,0.970284,4.168942,65.031013
0.5699281,0.032705,0.064677,0.950632,0.953391,4.359771,63.176083
0.5719278,0.033193,0.067118,0.951608,0.954550,4.499018,63.685513
0.5739275,0.032217,0.069558,0.961859,0.964909,4.556641,65.148415
0.5759272,0.031484,0.070291,0.967472,0.970533,4.551651,65.871597
0.5779269,0.031728,0.070779,0.979676,0.982742,4.526882,65.854462
0.5799268,0.033437,0.071511,0.986265,0.989420,4.576286,64.940300
0.5819265,0.035633,0.069558,0.999689,1.002739,4.470279,62.874813
0.5839263,0.036854,0.068094,1.009208,1.012173,4.387223,61.576923
0.5859261,0.038074,0.068338,1.013357,1.016372,4.414328,60.875942
0.5879258,0.040027,0.066874,1.018970,1.021946,4.373809,59.097786
0.5899256,0.040027,0.066630,1.019458,1.022417,4.360085,59.005390
0.5919254,0.042467,0.064189,1.018726,1.021629,4.320601,56.511501
0.5939251,0.040759,0.064677,1.015797,1.018670,4.303978,57.781330
0.5959250,0.039538,0.062725,1.013845,1.016553,4.182824,57.774712
0.5979247,0.039538,0.061260,1.014333,1.016950,4.111422,57.161060
0.5999244,0.039050,0.061504,1.018970,1.021571,4.089596,57.587692
0.6019243,0.037586,0.060772,1.023607,1.026098,3.993265,58.264290
0.6039240,0.036122,0.060772,1.028489,1.030915,3.932185,59.273701
0.6059238,0.035878,0.059796,1.031662,1.034016,3.866904,59.036243
0.6079236,0.035878,0.057355,1.034834,1.037043,3.740416,57.972706
0.6099233,0.037098,0.056379,1.035567,1.037763,3.728829,56.654736
0.6119231,0.037342,0.055891,1.034590,1.036772,3.717311,56.252235
0.6139231,0.038074,0.054426,1.030197,1.032336,3.688970,55.025227
0.6159228,0.039783,0.053206,1.027512,1.029658,3.699306,53.214298
0.6179226,0.041003,0.052962,1.025560,1.027745,3.736645,52.253197
0.6199223,0.041491,0.053206,1.022875,1.025098,3.773927,52.052307
0.6219221,0.042223,0.052962,1.021411,1.023654,3.793954,51.436920
0.6239219,0.042711,0.054182,1.017506,1.019842,3.879038,51.751701
0.6259217,0.045884,0.054915,1.013845,1.016367,4.037451,50.119370
0.6279215,0.046860,0.055891,1.010184,1.012813,4.129673,50.022591
0.6299213,0.048813,0.059064,1.004814,1.007732,4.360714,50.428097
0.6319210,0.051010,0.060284,1.001397,1.004506,4.508934,49.763641
0.6339207,0.052962,0.062725,0.997736,1.001108,4.703654,49.823658
0.6359206,0.054915,0.064433,0.995784,0.999376,4.859501,49.559948
0.6379203,0.055159,0.067118,0.991635,0.995433,5.006760,50.586014
0.6399201,0.054182,0.065897,0.991635,0.995298,4.917172,50.572201
0.6419199,0.054915,0.066386,0.989438,0.993182,4.976459,50.402245
0.6439196,0.055647,0.067606,0.987486,0.991360,5.067283,50.542046
0.6459194,0.053938,0.070047,0.984557,0.988518,5.131066,52.402473
0.6479192,0.053938,0.068338,0.981628,0.985481,5.068249,51.716469
0.6499189,0.052718,0.068582,0.980408,0.984217,5.042243,52.451126
0.6519186,0.050033,0.068338,0.978699,0.982357,4.946013,53.790543
0.6539183,0.046616,0.069070,0.978211,0.981754,4.869047,55.984127
0.6559181,0.045396,0.069803,0.979188,0.982721,4.860469,56.962051
0.6579179,0.042467,0.070535,0.981140,0.984589,4.796772,58.948860
0.6599176,0.041979,0.070535,0.982604,0.986027,4.775119,59.240768
0.6619173,0.041247,0.072487,0.983581,0.987110,4.846665,60.359104
0.6639171,0.039538,0.074684,0.985533,0.989149,4.900809,62.102730
0.6659168,0.039294,0.075172,0.986998,0.990636,4.911910,62.402702
0.6679165,0.040271,0.076636,0.988706,0.992489,5.004137,62.279076
0.6699163,0.042955,0.079565,0.986265,0.990402,5.238206,61.636398
0.6719160,0.043688,0.079565,0.987486,0.991649,5.251879,61.229702
0.6739157,0.043932,0.081274,0.990903,0.995200,5.326602,61.606979
0.6759154,0.045396,0.082006,0.992123,0.996541,5.397064,61.032341
0.6779151,0.046128,0.079321,0.993099,0.997329,5.278934,59.820351
0.6799148,0.047349,0.080297,0.995052,0.999409,5.351926,59.473606
0.6819146,0.048813,0.080785,0.994808,0.999275,5.419999,58.858387
0.6839144,0.050765,0.081518,0.994808,0.999432,5.513880,58.087231
0.6859141,0.052962,0.079809,0.996516,1.001109,5.490301,56.431408
0.6879138,0.052718,0.079565,0.996516,1.001076,5.471028,56.472473
0.6899136,0.051742,0.078101,0.997492,1.001882,5.365566,56.475529
0.6919133,0.052962,0.079077,0.996760,1.001294,5.454239,56.187675
0.6939130,0.052230,0.080297,0.996760,1.001352,5.489337,56.957771
0.6959128,0.051742,0.080785,0.996272,1.000880,5.500250,57.361115
0.6979126,0.051986,0.081029,0.995052,0.999698,5.526234,57.317135
0.6999123,0.051498,0.081762,0.992367,0.997060,5.561443,57.795193
0.7019120,0.049789,0.080541,0.988218,0.992744,5.473213,58.276398
0.7039117,0.048813,0.080297,0.986510,0.990975,5.441289,58.704468
0.7059115,0.046128,0.079565,0.985777,0.990058,5.330060,59.896790
0.7079113,0.047104,0.078833,0.986021,0.990289,5.320934,59.140701
0.7099110,0.047104,0.079077,0.986998,0.991280,5.327780,59.218628
0.7119107,0.045884,0.078345,0.988462,0.992623,5.247998,59.643784
0.7139105,0.044420,0.078345,0.988950,0.993043,5.203415,60.447708
0.7159102,0.045396,0.077857,0.989926,0.994021,5.201946,59.754730
0.7179099,0.046860,0.078833,0.993343,0.997568,5.274775,59.271599
0.7199097,0.047837,0.079565,0.992611,0.996943,5.343315,58.984581
0.7219095,0.049301,0.080541,0.994076,0.998551,5.426539,58.528313
0.7239092,0.050765,0.082982,0.995540,1.000281,5.580966,58.543179
0.7259090,0.051742,0.084935,0.997004,1.001953,5.696603,58.650417
0.7279087,0.053206,0.086643,0.997736,1.002904,5.818744,58.446556
0.7299085,0.053206,0.085911,1.000665,1.005755,5.766500,58.229313
0.7319082,0.053694,0.087619,1.001153,1.006413,5.860533,58.499477
0.7339079,0.055403,0.088840,1.003106,1.008555,5.958681,58.051250
0.7359077,0.056623,0.089816,1.003594,1.009195,6.039100,57.771244
0.7379075,0.058331,0.092012,1.005791,1.011674,6.181964,57.627254
0.7399073,0.058331,0.095429,1.008719,1.014901,6.327038,58.564510
0.7419070,0.059552,0.096650,1.009696,1.016058,6.415057,58.360218
0.7439067,0.059796,0.098114,1.010672,1.017182,6.485885,58.639668
0.7459065,0.061260,0.099334,1.010672,1.017388,6.586897,58.337547
